# ∏Ò Ω: img_name, x(mm), y(mm), z(mm), rx(deg), ry(deg), rz(deg)
0.png, -572.9797, -137.9557, 991.2109, 179.7224, -0.3757, 92.8385
1.png, -571.0817, -145.5750, 276.9820, 179.7243, -0.3759, 94.4413
2.png, -575.2661, -156.9511, 280.3932, -179.7243, 6.0756, 94.4413
3.png, -575.1782, -153.2681, 280.0527, -179.7243, 4.2011, 96.2728
4.png, -595.4407, -152.7866, 295.9724, -179.7224, 4.0011, 96.2728
5.png, -587.4647, -151.1246, 285.8798, 179.7224, 4.1239, 96.2728
6.png, -587.3767, -147.4291, 285.7468, 179.7224, 1.9485, 96.2728
7.png, -597.9603, -105.8554, 275.4229, 179.7224, 2.0342, 92.8385
8.png, -602.6900, -147.9303, 288.4473, 179.7243, 1.1478, 75.9980
9.png, -595.4146, -174.9479, 288.4575, 179.7243, 1.1478, 75.9980
10.png, -579.4808, -182.5822, 277.8256, 179.7243, -0.4459, 75.9980
11.png, -578.2505, -192.7832, 292.0072, -179.7243, 0.4559, 75.9980
12.png, -575.6455, -202.1711, 271.9832, -179.7243, -5.8106, 80.0000
13.png, -568.8359, -217.0473, 272.6837, -179.7243, -8.6176, 82.1428
14.png, -569.8253, -209.7557, 274.0500, -179.7224, -12.4282, 82.1428
15.png, -573.7677, -196.3162, 274.8484, -179.7224, -14.0621, 80.0000
16.png, -573.9139, -196.3495, 275.0415, -179.7243, -14.4360, 87.0964
17.png, -560.1110, -205.0341, 267.3695, -179.7243, -14.6403, 87.0964
18.png, -559.3195, -211.7176, 265.7919, -179.7224, -10.4601, 72.9906
19.png, -585.5730, -234.2653, 285.9415, -179.7243, 0.4870, 29.3125
20.png, -565.7318, -228.0201, 270.2877, -179.7243, -1.9933, 24.1769
